smoking,gender,age,education,weight,height,bmi
no,female,80,Some college / AA,86.5,163.9,32.2
no,female,61,College or above,50.7,154.3,21.3
yes,male,60,Some college / AA,74.7,183.2,22.3
yes,male,47,HS or GED,109.1,173.5,36.2
yes,male,70,College or above,108.4,178.2,34.1
no,male,19,Some college / AA,94.0,187.7,26.7
yes,male,56,Some college / AA,86.9,161.7,33.2
no,male,49,Some college / AA,71.9,162.5,27.2
yes,male,66,Some college / AA,81.9,165.0,30.1
yes,male,35,9-11th grade,75.7,177.1,24.1
no,female,51,9-11th grade,63.4,159.6,24.9
no,female,49,HS or GED,103.9,157.9,41.7
no,female,49,HS or GED,122.0,166.4,44.1
no,female,62,Some college / AA,98.9,157.4,39.9
yes,female,34,HS or GED,53.9,153.5,22.9
no,female,31,College or above,72.7,165.2,26.6
yes,male,66,9-11th grade,55.7,165.6,20.3
no,female,61,College or above,99.7,152.8,42.7
yes,male,47,9-11th grade,67.7,171.6,23.0
yes,female,65,College or above,63.4,171.3,21.6
yes,male,66,Some college / AA,92.2,177.4,29.3
no,male,75,HS or GED,75.8,170.3,26.1
no,female,80,HS or GED,63.7,156.2,26.1
no,female,68,9-11th grade,116.4,171.9,39.4
no,female,27,Some college / AA,58.3,162.3,22.1
no,male,20,Some college / AA,63.8,179.0,19.9
yes,female,75,HS or GED,69.0,159.5,27.1
no,female,46,College or above,65.3,160.3,25.4
no,male,33,College or above,58.6,174.2,19.3
yes,male,25,Some college / AA,73.0,184.4,21.5
yes,male,49,Some college / AA,111.1,183.7,32.9
yes,male,22,9-11th grade,53.8,173.5,17.9
yes,female,38,Some college / AA,103.7,166.4,37.5
no,male,25,HS or GED,61.4,174.1,20.3
no,female,50,9-11th grade,47.1,152.5,20.3
yes,male,23,Some college / AA,73.2,187.3,20.9
no,female,32,Some college / AA,81.0,174.5,26.6
no,female,59,Some college / AA,104.9,167.3,37.5
no,male,65,College or above,70.9,176.5,22.8
no,female,50,Some college / AA,59.0,165.9,21.4
no,female,39,College or above,41.9,156.7,17.1
no,male,32,College or above,73.9,179.6,22.9
no,female,61,Some college / AA,66.3,157.1,26.9
no,male,64,College or above,81.4,168.2,28.8
yes,female,54,College or above,89.2,160.4,34.7
yes,male,59,9-11th grade,76.2,158.2,30.4
no,female,80,Some college / AA,61.5,152.7,26.4
yes,male,37,Some college / AA,68.4,174.8,22.4
no,male,35,College or above,124.9,178.8,39.1
no,female,68,College or above,46.2,155.2,19.2
yes,male,30,9-11th grade,89.3,175.9,28.9
yes,male,29,9-11th grade,67.5,156.4,27.6
no,male,29,Some college / AA,107.1,175.4,34.8
yes,male,77,HS or GED,110.6,173.8,36.6
yes,female,50,Some college / AA,78.0,152.4,33.6
no,male,19,Some college / AA,57.1,168.0,20.2
no,male,31,Some college / AA,129.3,178.7,40.5
no,female,43,College or above,77.9,162.2,29.6
yes,male,42,College or above,78.6,176.4,25.3
yes,female,80,College or above,73.0,147.7,33.5
yes,male,37,9-11th grade,94.7,176.9,30.3
yes,female,61,Some college / AA,68.2,164.7,25.1
yes,female,62,Some college / AA,66.9,166.1428344791116,29.382197103497
no,female,55,Some college / AA,95.4,157.9,38.3
no,female,46,College or above,61.4,156.4,25.1
yes,female,33,Some college / AA,75.6,169.0,26.5
yes,male,55,9-11th grade,89.1,176.7,28.5
no,female,45,HS or GED,48.9,144.2,23.5
yes,female,64,College or above,76.4,168.6,26.9
yes,male,39,Some college / AA,80.7,167.8,28.7
yes,male,70,Some college / AA,128.7,179.0,40.2
no,female,72,HS or GED,51.9,152.7,22.3
no,male,26,College or above,78.3,170.8,26.8
no,female,23,Some college / AA,80.8,161.1,31.1
yes,male,61,HS or GED,99.1,169.8,34.4
no,female,25,College or above,50.2,156.7,20.4
no,female,26,College or above,107.9,164.9,39.7
no,female,22,Some college / AA,64.8,155.8,26.7
no,female,50,9-11th grade,67.0,148.7,30.3
no,female,35,9-11th grade,100.2,167.3,35.8
no,male,48,College or above,101.9,177.9,32.2
yes,male,37,College or above,119.9,179.8,37.1
yes,male,61,9-11th grade,107.0,167.9,38.0
no,female,65,HS or GED,102.0,158.6,40.6
no,female,71,HS or GED,66.3,156.8,27.0
no,male,35,HS or GED,84.3,169.0,29.5
no,male,35,HS or GED,76.3,159.9,29.8
yes,female,67,9-11th grade,99.2,161.4,38.1
yes,female,80,Some college / AA,71.1,156.6,29.0
no,female,39,College or above,80.4,151.7,34.9
no,female,36,College or above,79.0,158.7,31.4
yes,male,59,Some college / AA,74.6,171.8,25.3
yes,male,40,9-11th grade,101.1,173.6,33.5
no,male,80,Some college / AA,119.9,171.6,40.7
no,female,33,Some college / AA,74.1,160.9,28.6
no,male,46,College or above,84.2,181.5,25.6
no,female,51,HS or GED,97.9,165.5,35.7
no,female,25,College or above,54.0,159.8,21.1
no,female,68,9-11th grade,60.6,155.7,25.0
yes,male,37,HS or GED,128.8,185.8,37.3
yes,male,80,Some college / AA,70.5,177.8,22.3
no,male,64,HS or GED,81.4,166.4,29.4
yes,male,69,HS or GED,128.3,176.8,41.0
no,male,20,Some college / AA,93.8,162.5,35.5
yes,female,63,Some college / AA,83.5,168.4,29.4
yes,male,52,HS or GED,71.9,178.5,22.6
yes,female,71,Some college / AA,76.9,159.8,30.1
no,female,80,College or above,69.8,149.9,31.1
yes,female,49,Some college / AA,103.5,173.7,34.3
no,female,73,Some college / AA,74.9,169.8,26.0
no,female,19,Some college / AA,52.0,154.5,21.8
no,male,19,Some college / AA,67.3,182.0,20.3
no,female,31,Some college / AA,100.6,154.1,42.4
no,female,26,HS or GED,60.6,165.9,22.0
no,male,36,9-11th grade,71.0,162.6,26.9
no,female,66,Some college / AA,97.2,168.7,34.2
yes,male,28,College or above,81.3,168.0,28.8
no,male,49,College or above,83.3,177.9,26.3
no,female,80,Some college / AA,42.4,158.4,16.9
yes,male,56,HS or GED,84.4,187.7,24.0
no,male,33,9-11th grade,86.9,172.8,29.1
yes,female,52,Some college / AA,99.4,165.1,36.5
no,male,46,HS or GED,81.34267560889516,166.1428344791116,29.382197103497
yes,male,53,HS or GED,83.7,159.3,33.0
no,female,23,College or above,66.8,160.3,26.0
yes,male,64,College or above,77.5,169.4,27.0
no,female,20,HS or GED,56.5,158.7,22.4
yes,male,80,HS or GED,69.2,172.4,23.3
no,female,47,College or above,84.3,159.5,33.1
no,female,70,HS or GED,71.3,156.6,29.1
yes,male,23,HS or GED,79.3,178.3,24.9
no,female,36,College or above,74.9,167.7,26.6
yes,male,36,9-11th grade,102.1,168.5,36.0
no,male,26,College or above,77.4,180.3,23.8
yes,female,46,9-11th grade,93.9,172.0,31.7
yes,female,70,Some college / AA,70.0,152.2,30.2
no,female,59,HS or GED,77.1,158.0,30.9
no,female,37,College or above,65.5,156.9,26.6
yes,male,47,Some college / AA,84.4,166.7,30.4
yes,male,69,College or above,64.2,175.1,20.9
no,female,57,College or above,101.4,161.5,38.9
no,male,25,College or above,94.8,178.4,29.8
yes,male,40,College or above,74.7,168.0,26.5
no,female,54,HS or GED,75.7,154.2,31.8
no,female,47,9-11th grade,65.8,160.8,25.4
yes,male,80,HS or GED,92.2,174.2,30.4
yes,male,25,Some college / AA,53.9,160.6,20.9
no,female,18,Some college / AA,82.3,168.5,29.0
no,male,80,Some college / AA,87.7,173.5,29.1
yes,female,45,HS or GED,105.3,170.9,36.1
no,female,20,Some college / AA,69.8,165.1,25.6
no,female,29,College or above,54.4,163.5,20.3
no,female,36,Some college / AA,84.3,160.6,32.7
yes,male,80,Some college / AA,90.0,173.9,29.8
no,female,46,College or above,59.1,159.2,23.3
yes,male,31,Some college / AA,65.4,182.3,19.7
no,male,33,College or above,78.7,160.1,30.7
no,female,38,College or above,65.7,169.0,23.0
no,female,42,College or above,49.5,152.2,21.4
no,male,54,HS or GED,83.4,178.9,26.1
yes,male,46,HS or GED,96.9,176.5,31.1
no,female,18,Some college / AA,76.2,168.6,26.8
yes,male,53,HS or GED,79.9,173.4,26.6
no,female,30,College or above,61.6,158.6,24.5
no,female,28,HS or GED,68.1,163.2,25.6
no,female,54,Some college / AA,95.9,166.5,34.6
no,female,29,College or above,62.7,150.0,27.9
no,female,59,HS or GED,102.4,163.5,38.3
yes,male,80,HS or GED,74.3,166.6,26.8
no,female,61,HS or GED,62.0,156.3,25.4
yes,female,55,Some college / AA,77.3,176.3,24.9
yes,male,62,9-11th grade,50.6,163.1,19.0
no,female,80,Some college / AA,57.0,165.6,20.8
yes,male,48,HS or GED,80.0,175.6,25.9
no,male,25,Some college / AA,100.4,182.0,30.3
yes,male,53,College or above,85.4,180.4,26.2
yes,male,31,College or above,105.4,173.1,35.2
no,female,47,HS or GED,104.9,167.7,37.3
no,male,63,9-11th grade,81.7,169.3,28.5
yes,female,25,HS or GED,58.4,161.0,22.5
yes,female,60,Some college / AA,49.2,158.0,19.7
yes,male,38,Some college / AA,90.2,176.8,28.9
no,male,80,College or above,75.6,165.6,27.6
no,female,23,Some college / AA,55.9,166.1,20.3
yes,female,70,Some college / AA,88.7,171.3,30.2
no,male,50,Some college / AA,63.2,172.8,21.2
yes,male,34,College or above,131.1,177.3,41.7
yes,male,80,Some college / AA,96.4,168.3,34.0
no,female,45,College or above,64.7,165.5,23.6
yes,female,57,HS or GED,81.5,162.8,30.8
yes,female,73,College or above,86.4,166.7,31.1
no,female,62,HS or GED,63.1,154.0,26.6
no,male,62,Some college / AA,75.9,178.5,23.8
yes,female,80,College or above,75.4,157.0,30.6
no,female,47,HS or GED,81.3,155.6,33.6
no,male,33,College or above,56.5,172.9,18.9
no,female,78,Some college / AA,70.7,156.7,28.8
no,female,80,HS or GED,80.5,154.7,33.6
no,female,43,College or above,65.5,166.8,23.5
yes,female,26,HS or GED,97.9,161.2,37.7
yes,male,24,HS or GED,103.7,166.9,37.2
yes,female,31,College or above,105.8,163.6,39.5
yes,female,57,Some college / AA,85.4,165.7,31.1
no,female,55,College or above,71.0,152.5,30.5
no,female,22,Some college / AA,42.5,158.8,16.9
no,female,73,Some college / AA,82.0,164.0,30.5
no,male,20,Some college / AA,62.9,175.2,20.5
yes,male,68,Some college / AA,83.0,164.0,30.9
no,female,35,Some college / AA,76.4,168.8,26.8
no,male,80,College or above,101.2,174.1,33.4
no,male,26,College or above,78.4,168.5,27.6
no,female,51,Some college / AA,58.9,150.7,25.9
yes,male,46,Some college / AA,73.9,159.1,29.2
no,male,18,Some college / AA,117.3,178.0,37.0
yes,female,60,Some college / AA,53.3,153.9,22.5
no,female,18,Some college / AA,53.8,159.3,21.2
no,female,29,Some college / AA,70.5,155.2,29.3
yes,female,60,College or above,79.1,165.3,28.9
no,female,40,College or above,57.9,162.6,21.9
no,female,35,Some college / AA,81.4,158.0,32.6
no,female,50,Some college / AA,121.2,167.6,43.1
no,female,59,HS or GED,74.2,161.1,28.6
yes,male,26,9-11th grade,84.7,187.4,24.1
no,female,22,9-11th grade,66.7,146.4,31.1
no,female,18,Some college / AA,82.8,148.7,37.4
no,male,58,College or above,109.4,179.0,34.1
yes,male,63,College or above,77.0,173.4,25.6
no,female,55,Some college / AA,82.0,159.2,32.4
no,female,25,Some college / AA,49.3,150.2,21.9
no,female,39,Some college / AA,92.1,161.4,35.4
no,female,24,9-11th grade,68.7,157.5,27.7
no,female,29,College or above,65.5,168.2,23.2
yes,male,60,College or above,79.0,171.3,26.9
no,male,75,College or above,100.5,177.6,31.9
no,female,18,Some college / AA,48.5,154.0,20.5
yes,female,34,Some college / AA,58.0,164.5,21.4
no,male,23,College or above,80.5,176.4,25.9
yes,male,60,Some college / AA,76.4,169.5,26.6
no,male,55,9-11th grade,81.2,161.2,31.2
yes,male,31,HS or GED,72.6,161.5,27.8
no,male,54,HS or GED,66.4,174.1,21.9
yes,male,54,HS or GED,79.3,168.7,27.9
no,male,35,College or above,74.7,166.5,26.9
yes,male,71,HS or GED,69.5,173.3,23.1
no,female,49,HS or GED,89.8,163.2,33.7
yes,male,53,HS or GED,88.7,174.3,29.2
no,female,31,College or above,100.7,164.0,37.4
no,female,49,9-11th grade,87.9,156.0,36.1
yes,female,75,College or above,65.1,156.5,26.6
yes,female,62,HS or GED,77.7,160.6,30.1
no,male,37,HS or GED,63.7,163.5,23.8
no,male,50,9-11th grade,132.3,179.3,41.2
no,female,76,Some college / AA,90.2,158.3,36.0
yes,male,58,Some college / AA,130.5,189.9,36.2
yes,female,42,HS or GED,74.5,158.8,29.5
yes,female,53,College or above,69.3,159.1,27.4
no,male,48,Some college / AA,96.6,172.2,32.6
no,male,52,HS or GED,121.3,182.7,36.3
no,female,39,College or above,65.5,157.1,26.5
no,female,76,College or above,70.7,164.4,26.2
no,male,42,HS or GED,81.6,178.7,25.6
yes,male,72,9-11th grade,73.6,170.1,25.4
no,male,45,HS or GED,50.0,156.6,20.4
yes,male,38,HS or GED,96.6,179.3,30.0
yes,female,36,Some college / AA,86.6,172.6,29.1
no,female,28,HS or GED,77.1,150.9,33.9
no,female,35,HS or GED,56.5,154.1,23.8
yes,male,53,9-11th grade,61.3,175.0,20.0
no,male,19,Some college / AA,62.8,175.8,20.3
no,male,80,HS or GED,78.7,171.5,26.8
no,male,80,Some college / AA,102.3,174.7,33.5
no,male,80,Some college / AA,61.9,165.7,22.5
no,female,21,HS or GED,129.4,173.2,43.1
yes,female,44,Some college / AA,61.8,163.5,23.1
no,female,21,Some college / AA,73.6,161.3,28.3
yes,female,51,HS or GED,104.6,168.6,36.8
yes,male,40,9-11th grade,70.6,171.9,23.9
yes,male,57,Some college / AA,103.9,169.6,36.1
no,male,80,College or above,81.3,178.1,25.6
no,male,23,HS or GED,87.8,162.0,33.5
yes,male,39,Some college / AA,105.8,175.0,34.5
no,male,66,College or above,68.3,168.9,23.9
yes,male,80,Some college / AA,43.7,162.2,16.6
yes,male,78,Some college / AA,80.0,171.5,27.2
no,female,30,College or above,87.0,170.5,29.9
no,female,50,College or above,83.7,160.1,32.7
yes,male,59,College or above,107.8,195.1,28.3
yes,male,51,College or above,82.0,172.0,27.7
no,female,51,College or above,121.0,168.3,42.7
yes,female,22,HS or GED,64.1,157.4,25.9
yes,male,63,Some college / AA,75.6,163.8,28.2
no,male,45,HS or GED,92.3,171.8,31.3
no,female,36,College or above,82.7,157.2,33.5
yes,male,64,9-11th grade,90.6,167.1,32.4
no,female,36,Some college / AA,47.8,153.3,20.3
no,female,44,College or above,59.0,153.8,24.9
yes,female,50,College or above,52.0,161.5,19.9
no,female,37,Some college / AA,110.9,167.3,39.6
no,female,31,Some college / AA,97.8,161.7,37.4
no,female,23,College or above,55.3,154.3,23.2
yes,female,30,College or above,71.1,160.0,27.8
no,female,18,Some college / AA,62.6,169.7,21.7
yes,female,80,College or above,59.0,157.8,23.7
no,female,21,Some college / AA,56.0,168.6,19.7
yes,male,65,HS or GED,63.8,158.8,25.3
no,male,22,Some college / AA,71.7,171.6,24.3
yes,female,69,Some college / AA,89.4,158.9,35.4
yes,female,31,College or above,98.5,167.9,34.9
yes,female,44,College or above,63.5,150.7,28.0
no,female,68,College or above,60.0,147.7,27.5
no,female,52,Some college / AA,56.4,158.7,22.4
no,female,73,College or above,94.4,154.7,39.4
no,male,19,Some college / AA,70.3,171.9,23.8
yes,male,60,HS or GED,81.34267560889516,166.1428344791116,29.382197103497
no,male,30,Some college / AA,79.9,180.1,24.6
no,female,36,Some college / AA,126.9,172.8,42.5
no,male,59,College or above,56.7,176.3,18.2
no,male,44,HS or GED,95.7,171.3,32.6
no,male,71,HS or GED,88.2,173.6,29.3
yes,male,25,HS or GED,94.8,157.3,38.3
no,male,26,College or above,77.8,173.8,25.8
yes,female,71,College or above,65.9,159.6,25.9
no,female,39,College or above,104.0,168.7,36.5
yes,male,68,HS or GED,67.2,165.0,24.7
no,male,32,Some college / AA,67.9,177.7,21.5
no,female,37,Some college / AA,63.5,163.1,23.9
yes,female,58,College or above,61.0,147.4,28.1
yes,female,19,Some college / AA,69.6,161.5,26.7
no,female,43,Some college / AA,85.9,155.4,35.6
yes,female,80,HS or GED,60.3,147.2,27.8
no,female,19,Some college / AA,76.7,185.2,22.4
yes,male,18,Some college / AA,61.0,169.1,21.3
yes,male,64,HS or GED,97.5,168.4,34.4
yes,female,46,Some college / AA,73.2,160.1,28.6
yes,male,69,College or above,71.1,174.2,23.4
yes,male,69,9-11th grade,65.3,167.9,23.2
yes,male,25,HS or GED,64.8,180.8,19.8
yes,female,37,HS or GED,65.3,168.1,23.1
yes,male,33,HS or GED,85.8,172.5,28.8
no,female,31,Some college / AA,92.4,170.6,31.7
yes,female,52,Some college / AA,86.6,151.2,37.9
yes,male,60,9-11th grade,92.4,169.2,32.3
yes,male,58,Some college / AA,90.5,180.1,27.9
yes,male,64,College or above,61.3,175.4,19.9
yes,female,40,Some college / AA,58.7,163.4,22.0
no,female,80,9-11th grade,43.6,145.4,20.6
yes,female,46,Some college / AA,61.3,162.4,23.2
no,male,23,Some college / AA,105.2,171.3,35.9
no,female,40,Some college / AA,47.7,148.7,21.6
no,male,65,College or above,69.8,163.5,26.1
yes,male,30,Some college / AA,126.7,173.2,42.2
no,male,27,College or above,95.1,178.3,29.9
no,male,47,College or above,86.9,179.0,27.1
yes,male,59,Some college / AA,109.7,187.2,31.3
no,male,65,Some college / AA,125.7,184.2,37.0
no,male,70,Some college / AA,93.1,178.4,29.3
no,female,52,HS or GED,96.5,164.2,35.8
yes,female,28,9-11th grade,88.2,152.6,37.9
no,female,42,College or above,109.3,172.0,36.9
yes,male,53,HS or GED,69.3,171.1,23.7
yes,male,28,Some college / AA,99.9,169.3,34.9
no,male,69,Some college / AA,76.7,169.7,26.6
yes,male,25,9-11th grade,72.7,175.4,23.6
no,male,27,Some college / AA,78.6,192.1,21.3
no,female,25,HS or GED,60.7,160.5,23.6
no,male,23,9-11th grade,90.9,178.9,28.4
yes,male,80,Some college / AA,93.0,182.5,27.9
no,female,50,Some college / AA,71.4,158.2,28.5
yes,female,30,College or above,103.6,169.8,35.9
yes,female,28,HS or GED,97.5,168.1,34.5
no,male,55,College or above,125.4,179.2,39.1
no,female,34,College or above,71.3,155.4,29.5
no,male,58,Some college / AA,106.6,172.0,36.0
no,male,51,College or above,92.5,181.7,28.0
no,female,41,College or above,83.9,163.8,31.3
yes,female,68,Some college / AA,82.8,164.8,30.5
no,female,23,College or above,69.1,165.8,25.1
no,female,24,9-11th grade,78.8,153.1,33.6
no,female,62,College or above,99.1,151.7,43.1
no,male,18,Some college / AA,90.1,177.7,28.5
no,female,40,College or above,64.2,172.6,21.6
yes,male,39,9-11th grade,77.2,160.8,29.9
no,female,46,HS or GED,80.5,169.7,28.0
yes,male,59,HS or GED,76.8,177.1,24.5
yes,female,59,HS or GED,105.3,171.7,35.7
yes,male,80,HS or GED,96.9,174.0,32.0
yes,female,45,College or above,81.34267560889516,166.1428344791116,29.382197103497
yes,male,80,College or above,55.6,155.0,23.1
no,female,78,HS or GED,73.2,153.3,31.1
yes,male,54,College or above,71.0,179.6,22.0
yes,male,67,Some college / AA,90.4,176.0,29.2
no,male,62,9-11th grade,71.4,161.6,27.3
no,male,70,HS or GED,71.9,157.7,28.9
yes,male,40,College or above,85.7,168.4,30.2
yes,male,69,HS or GED,96.1,174.4,31.6
no,female,68,College or above,62.1,149.6,27.7
no,female,18,Some college / AA,53.5,158.0,21.4
no,female,63,HS or GED,56.8,150.6,25.0
yes,male,37,Some college / AA,69.7,171.0,23.8
yes,male,76,9-11th grade,62.0,149.8,27.6
no,female,25,College or above,61.1,155.2,25.4
no,male,23,Some college / AA,97.3,179.1,30.3
no,female,44,College or above,48.6,156.4,19.9
no,male,63,9-11th grade,68.0,168.8,23.9
yes,female,37,College or above,92.7,165.4,33.9
no,female,53,Some college / AA,51.9,158.2,20.7
no,female,30,HS or GED,97.5,158.9,38.6
yes,male,55,HS or GED,75.4,164.8,27.8
no,female,42,College or above,99.4,161.4,38.2
no,female,40,9-11th grade,58.8,155.1,24.4
no,male,71,HS or GED,94.6,174.1,31.2
no,male,49,College or above,65.0,168.1,23.0
yes,female,59,Some college / AA,83.5,157.4,33.7
no,female,79,HS or GED,77.8,156.7,31.7
yes,female,30,Some college / AA,93.6,156.1,38.4
no,male,33,College or above,58.1,174.2,19.1
yes,male,64,Some college / AA,59.4,159.8,23.3
yes,male,65,HS or GED,86.5,173.7,28.7
yes,male,50,HS or GED,86.4,172.4,29.1
no,female,62,HS or GED,123.4,168.9,43.3
yes,male,44,9-11th grade,71.0,174.1,23.4
no,male,62,Some college / AA,100.3,168.7,35.2
yes,female,34,College or above,50.3,156.2,20.6
no,female,40,9-11th grade,47.4,144.1,22.8
yes,male,41,College or above,94.3,173.2,31.4
no,female,32,Some college / AA,56.3,159.5,22.1
yes,male,78,College or above,72.6,161.8,27.7
yes,male,29,HS or GED,66.8,163.4,25.0
yes,male,35,College or above,73.4,172.9,24.6
yes,female,45,College or above,59.0,169.5,20.5
no,male,50,Some college / AA,53.7,176.9,17.2
yes,male,57,9-11th grade,83.4,176.5,26.8
yes,female,77,Some college / AA,95.0,173.3,31.6
yes,male,54,9-11th grade,65.9,157.7,26.5
yes,male,25,HS or GED,65.9,172.8,22.1
no,male,65,HS or GED,108.3,170.7,37.2
yes,male,63,9-11th grade,106.5,174.6,34.9
yes,female,35,HS or GED,63.9,160.8,24.7
no,female,80,9-11th grade,93.9,168.2,33.2
no,male,18,Some college / AA,63.3,154.3,26.6
yes,male,28,Some college / AA,68.2,173.4,22.7
yes,female,61,HS or GED,77.8,168.0,27.6
no,female,60,9-11th grade,53.9,162.2,20.5
no,female,40,College or above,47.3,153.5,20.1
yes,male,19,Some college / AA,65.9,171.1,22.5
no,male,19,Some college / AA,75.0,180.9,22.9
no,male,18,Some college / AA,76.3,177.5,24.2
yes,male,80,Some college / AA,73.3,171.3,25.0
yes,male,43,9-11th grade,96.4,165.3,35.3
no,female,28,HS or GED,70.8,157.5,28.5
no,female,40,College or above,81.34267560889516,155.2,29.382197103497
no,female,18,Some college / AA,81.34267560889516,166.1428344791116,29.382197103497
no,female,23,Some college / AA,39.9,155.1,16.6
yes,male,64,College or above,58.4,169.2,20.4
yes,female,49,9-11th grade,96.8,170.0,33.5
no,female,60,HS or GED,55.8,159.4,22.0
yes,male,29,Some college / AA,117.3,186.4,33.8
no,female,80,Some college / AA,81.34267560889516,166.1428344791116,29.382197103497
no,male,45,College or above,92.7,178.1,29.2
yes,male,71,Some college / AA,87.3,168.7,30.7
no,female,35,Some college / AA,82.6,151.5,36.0
no,male,19,Some college / AA,54.9,173.6,18.2
no,female,36,College or above,59.0,156.8,24.0
yes,male,30,HS or GED,95.0,175.7,30.8
yes,female,31,HS or GED,80.8,156.9,32.8
yes,male,64,College or above,78.9,178.1,24.9
yes,male,59,Some college / AA,75.1,178.8,23.5
no,female,36,Some college / AA,95.5,159.8,37.4
no,female,64,Some college / AA,72.1,151.3,31.5
yes,male,72,HS or GED,69.6,156.2,28.5
no,male,19,Some college / AA,71.4,172.4,24.0
no,male,60,HS or GED,90.8,172.7,30.4
yes,male,52,College or above,70.6,173.5,23.5
yes,male,70,Some college / AA,77.4,170.8,26.5
yes,female,80,HS or GED,57.7,159.9,22.6
no,female,42,College or above,64.7,150.1,28.7
yes,male,37,Some college / AA,66.4,171.9,22.5
no,female,26,College or above,75.1,166.7,27.0
yes,male,57,9-11th grade,78.2,165.0,28.7
yes,female,44,Some college / AA,92.4,163.8,34.4
no,female,23,Some college / AA,94.6,153.0,40.4
yes,male,32,Some college / AA,83.4,164.0,31.0
no,male,54,Some college / AA,69.2,168.7,24.3
no,female,20,Some college / AA,68.3,162.1,26.0
no,female,24,College or above,66.2,151.8,28.7
no,male,48,9-11th grade,53.1,158.0,21.3
no,female,22,College or above,48.6,163.8,18.1
no,male,25,HS or GED,91.1,184.8,26.7
yes,male,73,Some college / AA,76.1,178.1,24.0
no,female,38,College or above,61.4,155.8,25.3
no,male,40,College or above,94.4,180.0,29.1
no,male,79,HS or GED,80.1,175.4,26.0
no,female,63,9-11th grade,75.5,158.9,29.9
no,male,51,HS or GED,89.2,178.9,27.9
no,male,51,HS or GED,106.0,184.6,31.1
yes,male,26,HS or GED,78.4,178.7,24.6
no,male,52,HS or GED,68.1,157.0,27.6
yes,male,58,HS or GED,86.2,168.9,30.2
yes,male,24,Some college / AA,104.0,169.2,36.3
yes,female,47,HS or GED,69.1,164.8,25.4
no,male,40,College or above,75.9,182.3,22.8
yes,female,80,HS or GED,69.8,154.2,29.4
no,male,22,HS or GED,65.5,178.6,20.5
no,female,54,9-11th grade,57.2,150.0,25.4
yes,female,26,Some college / AA,108.2,173.3,36.0
yes,male,33,9-11th grade,102.0,174.6,33.5
no,female,41,HS or GED,65.0,156.7,26.5
yes,male,48,Some college / AA,80.4,159.5,31.6
no,male,38,HS or GED,111.6,168.2,39.4
no,male,25,College or above,83.6,180.7,25.6
yes,male,77,Some college / AA,74.3,169.9,25.7
no,female,51,College or above,90.3,156.3,37.0
yes,male,27,Some college / AA,96.7,179.9,29.9
no,female,33,College or above,53.6,165.5,19.6
no,female,31,College or above,70.2,159.6,27.6
yes,male,80,9-11th grade,67.3,167.4,24.0
no,female,69,College or above,62.1,168.2,22.0
yes,male,52,HS or GED,92.6,174.7,30.3
yes,male,52,Some college / AA,89.3,166.4,32.3
no,female,80,9-11th grade,48.4,145.4,22.9
no,male,59,Some college / AA,101.6,168.4,35.8
yes,female,30,HS or GED,68.4,155.7,28.2
no,male,29,Some college / AA,90.4,180.9,27.6
yes,male,35,9-11th grade,70.0,169.5,24.4
no,male,64,College or above,70.4,163.5,26.3
no,female,45,Some college / AA,61.0,159.5,24.0
yes,male,50,9-11th grade,84.8,175.7,27.5
no,male,30,College or above,53.5,158.8,21.2
yes,male,77,College or above,89.7,184.5,26.4
no,female,80,HS or GED,68.8,153.6,29.2
yes,female,80,Some college / AA,65.1,169.0,22.8
no,female,74,HS or GED,74.3,156.6,30.3
no,female,36,College or above,56.0,162.3,21.3
no,female,22,Some college / AA,65.3,164.2,24.2
no,female,25,College or above,56.9,154.4,23.9
yes,female,80,Some college / AA,89.7,169.6,31.2
no,female,51,HS or GED,61.8,151.7,26.9
no,male,41,College or above,90.7,178.0,28.6
no,male,20,HS or GED,103.9,167.0,37.3
no,male,24,HS or GED,100.3,177.6,31.8
no,female,42,College or above,62.9,160.8,24.3
no,female,29,Some college / AA,56.7,169.8,19.7
no,male,54,College or above,60.2,161.4,23.1
yes,female,27,HS or GED,61.3,171.4,20.9
no,male,66,College or above,94.2,168.2,33.3
no,male,34,HS or GED,75.2,184.7,22.0
no,male,26,HS or GED,105.0,180.4,32.3
yes,male,76,Some college / AA,62.8,163.3,23.5
no,male,19,Some college / AA,68.3,179.0,21.3
yes,male,44,College or above,78.6,172.4,26.4
no,female,35,College or above,83.1,169.5,28.9
no,female,76,Some college / AA,99.0,161.2,38.1
no,male,23,College or above,60.8,181.3,18.5
yes,male,70,College or above,65.2,167.6,23.2
no,female,41,College or above,56.3,160.2,21.9
no,male,64,College or above,90.2,170.0,31.2
yes,male,76,HS or GED,96.7,187.3,27.6
yes,female,64,HS or GED,90.1,167.5,32.1
no,male,53,College or above,95.6,174.6,31.4
yes,male,37,HS or GED,95.8,181.7,29.0
yes,female,31,Some college / AA,75.3,158.3,30.0
yes,female,45,Some college / AA,106.5,164.4,39.4
yes,male,63,Some college / AA,82.3,177.8,26.0
no,female,61,HS or GED,88.2,166.0,32.0
yes,female,79,HS or GED,101.0,157.9,40.5
no,female,49,College or above,70.6,155.6,29.2
no,male,58,Some college / AA,119.6,170.6,41.1
no,female,21,9-11th grade,91.3,165.0,33.5
no,female,27,Some college / AA,91.9,162.4,34.8
yes,female,36,Some college / AA,75.9,161.5,29.1
no,female,48,College or above,86.2,153.1,36.8
